,Type,Model,D47,D47se,Tc,se
1,Classic,OLS,0.6,0.005,58.93607881,2.421306689
2,Classic,OLS,0.7,0.005,18.68524541,1.647371902
3,Classic,OLS,0.8,0.005,-9.766919606,1.212895806
4,Classic,OLS,0.6,0.01,58.93607881,4.790411443
5,Classic,OLS,0.7,0.01,18.68524541,3.267157502
6,Classic,OLS,0.8,0.01,-9.766919606,2.409188087
7,Classic,OLS,0.6,0.02,58.93607881,9.379321423
8,Classic,OLS,0.7,0.02,18.68524541,6.42698638
9,Classic,OLS,0.8,0.02,-9.766919606,4.75345186
10,Classic,York,0.6,0.005,56.91244841,2.29228136
11,Classic,York,0.7,0.005,18.50464554,1.585174292
12,Classic,York,0.8,0.005,-9.010552439,1.179250546
13,Classic,York,0.6,0.01,56.91244841,4.53745701
14,Classic,York,0.7,0.01,18.50464554,3.144779623
15,Classic,York,0.8,0.01,-9.010552439,2.342846528
16,Classic,York,0.6,0.02,56.91244841,8.892783127
17,Classic,York,0.7,0.02,18.50464554,6.189978629
18,Classic,York,0.8,0.02,-9.010552439,4.624437632
19,Classic,Deming,0.6,0.005,58.93607882,2.421306689
20,Classic,Deming,0.7,0.005,18.68524541,1.647371902
21,Classic,Deming,0.8,0.005,-9.766919607,1.212895806
22,Classic,Deming,0.6,0.01,58.93607882,4.790411443
23,Classic,Deming,0.7,0.01,18.68524541,3.267157502
24,Classic,Deming,0.8,0.01,-9.766919607,2.409188088
25,Classic,Deming,0.6,0.02,58.93607882,9.379321424
26,Classic,Deming,0.7,0.02,18.68524541,6.426986381
27,Classic,Deming,0.8,0.02,-9.766919607,4.75345186
28,Classic,WOLS,0.6,0.005,58.93607879,2.421306687
29,Classic,WOLS,0.7,0.005,18.68524541,1.647371901
30,Classic,WOLS,0.8,0.005,-9.766919598,1.212895805
31,Classic,WOLS,0.6,0.01,58.93607879,4.79041144
32,Classic,WOLS,0.7,0.01,18.68524541,3.267157501
33,Classic,WOLS,0.8,0.01,-9.766919598,2.409188087
34,Classic,WOLS,0.6,0.02,58.93607879,9.379321418
35,Classic,WOLS,0.7,0.02,18.68524541,6.426986378
36,Classic,WOLS,0.8,0.02,-9.766919598,4.753451858
37,BayClump,Deming,0.6,0.005,58.43012595,7.508739884
38,BayClump,Deming,0.7,0.005,16.88782337,5.003510767
39,BayClump,Deming,0.8,0.005,-8.861430321,3.779794671
40,BayClump,Deming,0.6,0.01,60.56328215,7.656639227
41,BayClump,Deming,0.7,0.01,21.19769265,5.231799552
42,BayClump,Deming,0.8,0.01,-10.0274895,3.729836215
43,BayClump,Deming,0.6,0.02,51.98264517,7.073639543
44,BayClump,Deming,0.7,0.02,22.53252885,5.303923313
45,BayClump,Deming,0.8,0.02,-10.12518506,3.725671245
46,BayClump,OLS,0.6,0.005,58.34467012,7.44813542
47,BayClump,OLS,0.7,0.005,20.7323657,5.181551499
48,BayClump,OLS,0.8,0.005,-9.24098522,3.749453648
49,BayClump,OLS,0.6,0.01,59.06807883,7.497276763
50,BayClump,OLS,0.7,0.01,20.82606295,5.186525104
51,BayClump,OLS,0.8,0.01,-12.39512002,3.616425924
52,BayClump,OLS,0.6,0.02,62.99782517,7.768063856
53,BayClump,OLS,0.7,0.02,21.78326779,5.237519828
54,BayClump,OLS,0.8,0.02,-8.069762414,3.799675969
55,BayClump,York,0.6,0.005,59.00727594,7.267154671
56,BayClump,York,0.7,0.005,17.8747584,4.878523024
57,BayClump,York,0.8,0.005,-8.746448942,3.655953212
58,BayClump,York,0.6,0.01,58.7244711,7.248493386
59,BayClump,York,0.7,0.01,19.06491054,4.938835614
60,BayClump,York,0.8,0.01,-7.56432641,3.705272169
61,BayClump,York,0.6,0.02,63.48447446,7.566933297
62,BayClump,York,0.7,0.02,20.469311,5.010649295
63,BayClump,York,0.8,0.02,-7.148134907,3.722741967
64,BayClump,WOLS,0.6,0.005,58.15311902,7.445271043
65,BayClump,WOLS,0.7,0.005,18.42438531,5.06479289
66,BayClump,WOLS,0.8,0.005,-9.873151332,3.725029326
67,BayClump,WOLS,0.6,0.01,60.04428239,7.574386123
68,BayClump,WOLS,0.7,0.01,18.73850087,5.081246896
69,BayClump,WOLS,0.8,0.01,-7.588746546,3.823072219
70,BayClump,WOLS,0.6,0.02,54.85154398,7.223452609
71,BayClump,WOLS,0.7,0.02,20.9497934,5.198097804
72,BayClump,WOLS,0.8,0.02,-8.26309261,3.793952188
73,Bayesian,BLM1_fit,0.6,0.005,59.99876044,1.486758405
74,Bayesian,BLM1_fit,0.7,0.005,17.70783047,0.992365444
75,Bayesian,BLM1_fit,0.8,0.005,-11.69804623,0.721197856
76,Bayesian,BLM1_fit,0.6,0.01,60.00261317,2.954177123
77,Bayesian,BLM1_fit,0.7,0.01,17.70977003,1.968588486
78,Bayesian,BLM1_fit,0.8,0.01,-11.69971872,1.435110355
79,Bayesian,BLM1_fit,0.6,0.02,59.99904843,5.808792733
80,Bayesian,BLM1_fit,0.7,0.02,17.70411589,3.883401763
81,Bayesian,BLM1_fit,0.8,0.02,-11.7008982,2.830672447
82,Bayesian,BLM1_fit_NoErrors,0.6,0.005,59.28892254,1.472297696
83,Bayesian,BLM1_fit_NoErrors,0.7,0.005,17.41361864,0.984355448
84,Bayesian,BLM1_fit_NoErrors,0.8,0.005,-11.78608694,0.716653422
85,Bayesian,BLM1_fit_NoErrors,0.6,0.01,59.2904054,2.917387162
86,Bayesian,BLM1_fit_NoErrors,0.7,0.01,17.41608353,1.954308478
87,Bayesian,BLM1_fit_NoErrors,0.8,0.01,-11.78881119,1.426382772
88,Bayesian,BLM1_fit_NoErrors,0.6,0.02,59.28817627,5.743288199
89,Bayesian,BLM1_fit_NoErrors,0.7,0.02,17.40655263,3.854481229
90,Bayesian,BLM1_fit_NoErrors,0.8,0.02,-11.78897013,2.82225761
91,Bayesian,BLM3,0.6,0.005,59.39464807,1.474873934
92,Bayesian,BLM3,0.7,0.005,17.4245844,0.986130863
93,Bayesian,BLM3,0.8,0.005,-11.81926237,0.718296378
94,Bayesian,BLM3,0.6,0.01,59.38904073,2.929988795
95,Bayesian,BLM3,0.7,0.01,17.42605595,1.957482715
96,Bayesian,BLM3,0.8,0.01,-11.82091987,1.428567122
97,Bayesian,BLM3,0.6,0.02,59.39245933,5.746331335
98,Bayesian,BLM3,0.7,0.02,17.42766524,3.86209998
99,Bayesian,BLM3,0.8,0.02,-11.81880538,2.822491233